model,dataset,balanced_accuracy,macro_f1,legitimate_recall,phishing_recall
Random Forest Balanced,Deduplicated Dataset,0.7783754937802095,0.6576335551887758,0.7830188679245284,0.7737321196358907
Decision Tree Balanced,Deduplicated Dataset,0.7689415315160586,0.6527424620434797,0.7641509433962265,0.7737321196358907
Random Forest,Deduplicated Dataset,0.6218379664842849,0.6521372686215889,0.27358490566037735,0.9700910273081924
XGBoost,Deduplicated Dataset,0.6071901759207008,0.6493217470024376,0.2169811320754717,0.9973992197659298
Decision Tree,Deduplicated Dataset,0.6192371862502147,0.6462667537394657,0.27358490566037735,0.9648894668400521
Random Forest,Original Dataset,0.867,0.8663821510665316,0.935,0.799
Decision Tree,Original Dataset,0.865,0.8643160170419082,0.936,0.794
XGBoost,Original Dataset,0.829,0.8253790601921442,0.973,0.685
