model,dataset,f2_score,mcc,roc_auc
XGBoost,Deduplicated Dataset,0.9768211920529801,0.41987654479289876,0.9057401182618937
Random Forest Balanced,Deduplicated Dataset,0.8053600433134813,0.3988561559806732,0.8755305837034129
Decision Tree Balanced,Deduplicated Dataset,0.8049242424242424,0.38622291461844177,0.8081924577373211
Random Forest,Deduplicated Dataset,0.956655552705822,0.3363002193990857,0.8691758470937506
Decision Tree,Deduplicated Dataset,0.9525032092426188,0.31792293042132397,0.8052849817209314
Random Forest,Original Dataset,0.8213404605263158,0.7408836708413495,0.9257495000000001
Decision Tree,Original Dataset,0.8172087278715521,0.7374730670350451,0.9168395
XGBoost,Original Dataset,0.7268675721561969,0.6871126834555672,0.895521
