model,dataset,accuracy,precision,recall,f1_score
Random Forest,Deduplicated Dataset,0.8857142857142857,0.9064398541919806,0.9700910273081924,0.9371859296482412
Decision Tree,Deduplicated Dataset,0.8811428571428571,0.905982905982906,0.9648894668400521,0.9345088161209067
Random Forest,Original Dataset,0.867,0.9247685185185185,0.799,0.8572961373390557
Decision Tree,Original Dataset,0.865,0.9254079254079254,0.794,0.8546824542518837
